My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
25,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Project management","Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Interaction design|Other,Less than 40 hours
25,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|There's flexibility over where and when I work|I have a manageable workload,Art direction|Drawing / Painting|Mentoring,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Strategy,41 - 50 hours
31,10 - 14 years,"$200,000+",I'm solving worthwhile problems|There's flexibility over where and when I work|I'm in the position to scale my business,Data analysis|Drawing / Painting|Leadership|Mentoring|Research,"Not really satisfied, but I deal",Data science|Education|Experience design|Research|Strategy,51 - 60 hours
22,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm paid what I'm worth|I have a manageable workload,Coding|Drawing / Painting|Film / Video|SEO / Social Media|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Social impact design|UI design|UX design,40 hours
34,15 - 20 years,"$150,000 to $199,999",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth,Art direction|Leadership|Photography|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|UI design|UX design,41 - 50 hours
27,1 - 4 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Business development|Business operations|Copywriting|Public speaking|Writing (published articles),Not sure,Communication / Graphic design|Interaction design|Strategy|Other,40 hours
29,1 - 4 years,"$75,000 to $99,999",I respect the people I work with|I'm solving worthwhile problems|I have a manageable workload,Facilitation|Project management|Public speaking|Research|UX design,"Happy, but there's room for improvement",Research|Service design|Social impact design|Strategy,41 - 50 hours
51,20+ years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work,Art direction|Coding|Facilitation|Project management|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Education|Packaging design|Strategy|UX design,41 - 50 hours
21,1 - 4 years,"Less than $25,000",N/A,Drawing / Painting|Film / Video|Leadership|Photography|Research,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,Less than 40 hours
31,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Coding|Film / Video|Photography|SEO / Social Media|UI design,Extremely satisfied with my work situation,Communication / Graphic design|Education,40 hours
25,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Photography|Project management|SEO / Social Media|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Strategy|UI design|UX design,40 hours
33,5 - 9 years,"$100,000 to $149,999",I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
19,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role,Art direction|Drawing / Painting|Public speaking,"Not really satisfied, but I deal",Communication / Graphic design,41 - 50 hours
54,15 - 20 years,"$100,000 to $149,999",I have the opportunity to learn new skills|I have a manageable workload,Art direction|Copywriting|Project management|UI design,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design|Strategy|UI design|UX design,40 hours
30,1 - 4 years,"$100,000 to $149,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|Benefits are sufficient (and maybe some perks on the side),Data visualization|UI design|UX design,"Happy, but there's room for improvement",Education|Interaction design|Service design|Strategy|UX design,40 hours
23,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Coding|Copywriting|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
31,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills|My role is valued|I'm solving worthwhile problems,Coding|Research|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
23,1 - 4 years,"$50,000 to $74,999",I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems|I'm paid what I'm worth,Coding|Film / Video|Photography|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Motion graphics|UI design|UX design,40 hours
31,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Film / Video|Leadership|Research|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
25,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I feel creatively satisfied|I'm solving worthwhile problems,Art direction|Film / Video|Photography|Project management|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Motion graphics|Strategy|Other,41 - 50 hours
28,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I respect the people I work with|There's flexibility over where and when I work,Art direction|Drawing / Painting|Photography|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|UI design|UX design,40 hours
28,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Mentoring|Project management|Research|UI design|UX design,Extremely satisfied with my work situation,Communication / Graphic design|Experience design|Research|UI design|UX design,40 hours
25,5 - 9 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting|Leadership|Public speaking|Other,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Other,Less than 40 hours
28,5 - 9 years,"$75,000 to $99,999",My role is valued|The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Film / Video|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,41 - 50 hours
44,15 - 20 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|I'm in the position to scale my business,Mentoring|Public speaking|UI design|UX design|Other,"Not really satisfied, but I deal",Education|Experience design|Service design|UX design|Other,Less than 40 hours
22,Less than 1 year,"Less than $25,000",There's room to grow in my role|I'm in the position to scale my business,Drawing / Painting|Research|Other,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design|Packaging design|Research,Less than 40 hours
28,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Mentoring|Photography|Research,"Happy, but there's room for improvement",Animation|Illustration|Motion graphics|Other,Less than 40 hours
24,1 - 4 years,"Less than $25,000",I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Drawing / Painting|Photography|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Education|Other,Less than 40 hours
40,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have a manageable workload,Art direction|Leadership|UI design|UX design,Ready to call it quits,Communication / Graphic design|Experience design|Illustration|UI design|UX design,40 hours
25,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Coding|Film / Video|Leadership|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Motion graphics|UI design|UX design,41 - 50 hours
21,Less than 1 year,"Less than $25,000",I have the opportunity to learn new skills|I'm solving worthwhile problems,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Film / Video|Photography|Research","Not really satisfied, but I deal",Communication / Graphic design,Less than 40 hours
27,Less than 1 year,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I feel creatively satisfied|I respect the people I work with|I'm in the position to scale my business|I have a manageable workload,Project management|Research|UI design|UX design|Writing (published articles),Extremely satisfied with my work situation,Interaction design|Research|Strategy|UI design|UX design,41 - 50 hours
24,1 - 4 years,"$75,000 to $99,999",There's room to grow in my role|My role is valued|The standard of work is pretty high|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Coding|Data analysis|Drawing / Painting|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Interaction design|UI design|UX design,40 hours
41,10 - 14 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Coding|Mentoring|Research|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Research|UI design|UX design,40 hours
37,15 - 20 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|There's flexibility over where and when I work|I'm paid what I'm worth|I have no problem acquiring new client work,Art direction|Coding|Copywriting|SEO / Social Media|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,40 hours
34,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Leadership|Photography|Project management|SEO / Social Media,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
30,5 - 9 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|There's flexibility over where and when I work|Other,Coding|Leadership|Photography|SEO / Social Media|Other,"Not really satisfied, but I deal",Communication / Graphic design|Education|Illustration|Social impact design|Other,40 hours
35,1 - 4 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with,Data analysis|Leadership|Research,"Happy, but there's room for improvement",Data science|Research|Service design|Strategy,51 - 60 hours
32,10 - 14 years,"$50,000 to $74,999",There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Leadership,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design,41 - 50 hours
40,20+ years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Mentoring|Research|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|UI design|UX design,40 hours
50,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I respect the people I work with|I'm in the position to scale my business,Art direction|Leadership|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Strategy|UI design|Other,41 - 50 hours
35,5 - 9 years,"$35,000 to $49,999",I feel creatively satisfied|I respect the people I work with|I have a manageable workload,Leadership|Photography|Project management|SEO / Social Media|UX design,Ready to call it quits,UX design,41 - 50 hours
29,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Drawing / Painting|Project management,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
21,Less than 1 year,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills,Art direction|Public speaking|Research|UX design|Writing (published articles),"Happy, but there's room for improvement",Packaging design|Research|UI design|UX design,51 - 60 hours
27,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Leadership|Mentoring|Photography|Project management,Ready to call it quits,Communication / Graphic design,41 - 50 hours
38,15 - 20 years,"$100,000 to $149,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Facilitation|Leadership|Mentoring|Research|UX design,Extremely satisfied with my work situation,Experience design|Research|Strategy|UX design,40 hours
48,20+ years,"$100,000 to $149,999",N/A,Art direction|Photography|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|UI design|UX design,40 hours
24,1 - 4 years,"$75,000 to $99,999",There's room to grow in my role|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Drawing / Painting|Photography|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Packaging design|UI design|Other,41 - 50 hours
22,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I respect the people I work with|I have a manageable workload,Art direction|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|UI design,40 hours
31,1 - 4 years,"$35,000 to $49,999",Benefits are sufficient (and maybe some perks on the side),Drawing / Painting|Photography,Ready to call it quits,Communication / Graphic design,40 hours
25,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills,Data visualization|Photography|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Interaction design|Packaging design|UX design,Less than 40 hours
23,1 - 4 years,"$35,000 to $49,999",There's room to grow in my role|I respect the people I work with|There's flexibility over where and when I work,Art direction|Film / Video|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
29,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I have no problem acquiring new client work,Data analysis|Facilitation|Leadership|Project management|Research,"Happy, but there's room for improvement",Experience design|Research|Service design|Social impact design|Strategy,51 - 60 hours
29,1 - 4 years,"$75,000 to $99,999",I have the opportunity to learn new skills|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Photography|Other,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
23,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have a manageable workload,Art direction|Copywriting|Drawing / Painting|Leadership|Public speaking,Extremely satisfied with my work situation,Animation|Communication / Graphic design|Illustration,40 hours
26,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I feel creatively satisfied|There's flexibility over where and when I work,Coding|Data analysis|Project management,"Happy, but there's room for improvement",Communication / Graphic design,41 - 50 hours
33,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Mentoring|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Environmental design|Interaction design|UX design,Less than 40 hours
39,15 - 20 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems|I'm paid what I'm worth,Art direction|Coding|Leadership|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Strategy|UI design|UX design,61 + hours
44,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I respect the people I work with|There's flexibility over where and when I work,Facilitation|Leadership|Project management|Research|UX design,"Not really satisfied, but I deal",Education|Experience design|Research|Service design|Strategy,Less than 40 hours
35,10 - 14 years,"$150,000 to $199,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|I'm in the position to scale my business|I have a manageable workload,AR / VR design|Art direction|Leadership|UI design|UX design,"Happy, but there's room for improvement",AR / VR design|Interaction design|Motion graphics|UI design|UX design,51 - 60 hours
28,1 - 4 years,"$75,000 to $99,999",I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Copywriting|Leadership|Research|UX design|Writing (published articles),"Not really satisfied, but I deal",Experience design|Research|Strategy|UX design|Other,40 hours
26,Less than 1 year,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|AR / VR design|Mentoring|Research|UX design",Extremely satisfied with my work situation,UX design,41 - 50 hours
24,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Drawing / Painting|Leadership|Photography,Extremely satisfied with my work situation,Communication / Graphic design|Illustration|Other,41 - 50 hours
20,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied,Leadership|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Packaging design,41 - 50 hours
26,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills,Coding|Data visualization|Photography|Other,Ready to call it quits,Communication / Graphic design|Strategy,51 - 60 hours
24,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Photography|SEO / Social Media|Writing (published articles)","Not really satisfied, but I deal",Communication / Graphic design|Illustration|Motion graphics,40 hours
28,5 - 9 years,"$75,000 to $99,999",There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Drawing / Painting|Film / Video,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,40 hours
24,1 - 4 years,"$100,000 to $149,999",There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Film / Video|Public speaking|Research|UI design|UX design,"Not really satisfied, but I deal",AI / Algorithm design|Interaction design|Research|UI design|UX design,Less than 40 hours
29,1 - 4 years,"$35,000 to $49,999",My role is valued|The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),AI / Algorithm design|Business operations|Project management,"Happy, but there's room for improvement",Packaging design|Other,41 - 50 hours
46,20+ years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|There's flexibility over where and when I work,Art direction|Leadership|Mentoring,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration,41 - 50 hours
45,20+ years,"$100,000 to $149,999",Benefits are sufficient (and maybe some perks on the side),Art direction|Mentoring|Project management|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Interaction design,51 - 60 hours
50,15 - 20 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|The standard of work is pretty high,Art direction|Drawing / Painting|Mentoring,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,40 hours
50,Less than 1 year,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|There's flexibility over where and when I work,Public speaking,"Not really satisfied, but I deal",Research,41 - 50 hours
23,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems,Art direction|Drawing / Painting|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Other,41 - 50 hours
24,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Drawing / Painting|Mentoring|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Strategy|UI design|UX design,40 hours
21,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding|Data visualization|UI design|UX design","Not really satisfied, but I deal",Communication / Graphic design|Illustration|Packaging design|UI design|UX design,Less than 40 hours
44,15 - 20 years,"$200,000+",I respect the people I work with,Leadership|Mentoring|Research|UX design,Not sure,AI / Algorithm design|Data science|Experience design|Interaction design|UX design,51 - 60 hours
44,15 - 20 years,"$200,000+",I respect the people I work with,Leadership|Mentoring|Research|UX design,Not sure,AI / Algorithm design|Data science|Experience design|Interaction design|UX design,51 - 60 hours
35,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills,Art direction|Mentoring|UI design|Other,Ready to call it quits,Communication / Graphic design,51 - 60 hours
21,1 - 4 years,"$100,000 to $149,999",My role is valued|The standard of work is pretty high|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|UI design|UX design",Extremely satisfied with my work situation,Communication / Graphic design|Interaction design|Motion graphics|UI design|UX design,41 - 50 hours
35,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I respect the people I work with,Art direction|Drawing / Painting|Mentoring|Research|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Research|UI design|UX design,41 - 50 hours
49,20+ years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|There's flexibility over where and when I work,Art direction|Mentoring|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Illustration|Service design|Social impact design,Less than 40 hours
37,Less than 1 year,"$35,000 to $49,999",My role is valued|I respect the people I work with,Art direction|Facilitation|Photography,Ready to call it quits,Communication / Graphic design,40 hours
19,5 - 9 years,"Less than $25,000",I have the opportunity to learn new skills|I respect the people I work with,Copywriting|Film / Video|Photography|Public speaking|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Education|Other,Less than 40 hours
49,20+ years,"Less than $25,000",I have the opportunity to learn new skills|My role is valued|There's flexibility over where and when I work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Film / Video|Mentoring","Happy, but there's room for improvement",Communication / Graphic design|Education|Motion graphics,Less than 40 hours
26,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions,Art direction|Coding|Drawing / Painting|Photography|Project management,Ready to call it quits,Communication / Graphic design|Packaging design,41 - 50 hours
47,20+ years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Copywriting|Drawing / Painting|Mentoring|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Packaging design,40 hours
43,15 - 20 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Data analysis|Facilitation|Leadership|Public speaking|Research,Extremely satisfied with my work situation,Experience design|Interaction design|Research|Service design|Strategy,41 - 50 hours
34,10 - 14 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I feel creatively satisfied|I'm solving worthwhile problems,Art direction|Copywriting|Drawing / Painting|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
25,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Mentoring|Public speaking|Research|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Packaging design,41 - 50 hours
26,Less than 1 year,"Less than $25,000",The standard of work is pretty high|I have a manageable workload,Coding|Drawing / Painting|Photography,"Not really satisfied, but I deal",Communication / Graphic design|Service design,Less than 40 hours
29,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role,Drawing / Painting|Public speaking|Other,"Not really satisfied, but I deal",Illustration|Packaging design,40 hours
37,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Drawing / Painting|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,40 hours
56,20+ years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|There's flexibility over where and when I work,Art direction|Copywriting|Project management,Ready to call it quits,Communication / Graphic design,Less than 40 hours
32,10 - 14 years,"$100,000 to $149,999",My role is valued|There's flexibility over where and when I work|I have a manageable workload,Art direction|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,41 - 50 hours
36,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work,Data visualization|Photography|Research|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Strategy|UI design|UX design,61 + hours
21,Less than 1 year,"Less than $25,000",There's flexibility over where and when I work|I'm paid what I'm worth|I have a manageable workload,Drawing / Painting|Photography|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,Less than 40 hours
57,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Mentoring|Research|UX design,"Not really satisfied, but I deal",Experience design|Interaction design|Social impact design|UI design|UX design,Less than 40 hours
